member_casual,month,total_rides,avg_ride_length
casual,April,131230,16.275183341842126
casual,August,337258,20.924354284800398
casual,December,28005,12.517136001302282
casual,February,41085,13.825348546112108
casual,January,24654,12.614676188444589
casual,July,322502,20.572234367643084
casual,June,291135,21.06314719591998
casual,March,87620,16.431451580504216
casual,May,244726,19.12840104545001
casual,November,98850,14.597728544265259
casual,October,223579,17.465713105657425
casual,September,264773,18.895268104063717
member,April,316689,11.259598263385518
member,August,452352,12.823118179057234
member,December,112418,11.428836428481201
member,February,160242,10.565479853591425
member,January,112930,11.368213785241755
member,July,439975,12.916741786238727
member,June,386705,12.614562395889264
member,March,229115,11.095918534727167
member,May,408518,12.181775826808884
member,November,257291,11.48281385007737
member,October,421926,11.9397603832574
member,September,449200,12.39402431875347
